run_id,firm_id,company,relative_timepoint,target_date,selected_capture_date,impressum_available,governance_metadata_text,detected_legal_representatives,detected_legal_entity,detected_parent_company,governance_metadata_quality,governance_metadata_source_urls
ab33b6f5-06a8-4981-a805-65bf3f6b3516,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_pre_event,2019-07-01,2019-07-23,True,"Verantwortlich: Arthur Leichtle Schloßstr. 16 86441 Zusmarshausen Kontakt Telefon: 082911359 Telefax: 08291 859044 Mobil: 0177 2341359 E-Mail: mail@anlagentechnik-leichtle.de Handwerksmeister: Arthur Leichtle Zuständige Kammer: Handwerkskammer für Schwaben (86152 Augsburg Schmiedberg 4 Berufsbezeichnung: GWL - Gas Wasser Lüftung Berufsrechtliche Regelung: Handwerksordnung (Zu finden im Bundesgesetzblatt I, Seite 3074 in der Fassung vom 24.September 1998) Umsatzsteuer-Identifikationsnummer: gemäß §27a Umsatzsteuergesetz -DE 255444610 Haftungshinweis: Trotz sorgfältiger inhaltlicher Kontrolle übernehmen wir keine Haftung für die Inhalte externer Links. Für den Inhalt der verlinkten Seiten sind ausschließlich deren Betreiber verantwortlich.",,,,high,"[""https://www.anlagentechnik-leichtle.de/über-uns/impressum""]"
ab33b6f5-06a8-4981-a805-65bf3f6b3516,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_event,2021-07-01,2021-06-23,True,"Verantwortlich: Arthur Leichtle Schloßstr. 16 86441 Zusmarshausen Kontakt Telefon: 082911359 Telefax: 08291 859044 Mobil: 0177 2341359 E-Mail: mail@anlagentechnik-leichtle.de Handwerksmeister: Arthur Leichtle Zuständige Kammer: Handwerkskammer für Schwaben (86152 Augsburg Schmiedberg 4 Berufsbezeichnung: GWL - Gas Wasser Lüftung Berufsrechtliche Regelung: Handwerksordnung (Zu finden im Bundesgesetzblatt I, Seite 3074 in der Fassung vom 24.September 1998) Umsatzsteuer-Identifikationsnummer: gemäß §27a Umsatzsteuergesetz -DE 255444610 Haftungshinweis: Trotz sorgfältiger inhaltlicher Kontrolle übernehmen wir keine Haftung für die Inhalte externer Links. Für den Inhalt der verlinkten Seiten sind ausschließlich deren Betreiber verantwortlich.",,,,high,"[""https://www.anlagentechnik-leichtle.de/über-uns/impressum""]"
ab33b6f5-06a8-4981-a805-65bf3f6b3516,3,ANLAGENTECHNIK LEICHTLE GMBH,event,2023-07-01,2023-05-29,True,"Geschäftsführer: Arthur Leichtle und Michael Scherer Im Oberdorf 1 86441 Zusmarshausen OT Gabelbach Kontakt Telefon: 08291 1359 E-Mail: mail@anlagentechnik-leichtle.de Handwerksmeister: Arthur Leichtle Michael Scherer Zuständige Kammer: Handwerkskammer für Schwaben (86152 Augsburg, Schmiedberg 4) Berufsbezeichnung: GWL - Gas Wasser Lüftung Berufsrechtliche Regelung: Handwerksordnung (Zu finden im Bundesgesetzblatt I, Seite 3074 in der Fassung vom 24.September 1998) Umsatzsteuer-Identifikationsnummer: gemäß §27a Umsatzsteuergesetz -DE 255444610 Haftungshinweis: Trotz sorgfältiger inhaltlicher Kontrolle übernehmen wir keine Haftung für die Inhalte externer Links. Für den Inhalt der verlinkten Seiten sind ausschließlich deren Betreiber verantwortlich.",,,,high,"[""https://www.anlagentechnik-leichtle.de/über-uns/impressum""]"
ab33b6f5-06a8-4981-a805-65bf3f6b3516,3,ANLAGENTECHNIK LEICHTLE GMBH,post_event,2025-07-01,2025-06-15,True,"Geschäftsführer: Arthur Leichtle und Michael Scherer Im Oberdorf 1 86441 Zusmarshausen OT Gabelbach Kontakt Telefon: 08291 1359 E-Mail: mail@anlagentechnik-leichtle.de Handwerksmeister: Arthur Leichtle Michael Scherer Zuständige Kammer: Handwerkskammer für Schwaben (86152 Augsburg, Schmiedberg 4) Berufsbezeichnung: GWL - Gas Wasser Lüftung Berufsrechtliche Regelung: Handwerksordnung (Zu finden im Bundesgesetzblatt I, Seite 3074 in der Fassung vom 24.September 1998) Umsatzsteuer-Identifikationsnummer: gemäß §27a Umsatzsteuergesetz -DE 255444610 Haftungshinweis: Trotz sorgfältiger inhaltlicher Kontrolle übernehmen wir keine Haftung für die Inhalte externer Links. Für den Inhalt der verlinkten Seiten sind ausschließlich deren Betreiber verantwortlich.",,,,high,"[""https://www.anlagentechnik-leichtle.de/über-uns/impressum""]"
ab33b6f5-06a8-4981-a805-65bf3f6b3516,3,ANLAGENTECHNIK LEICHTLE GMBH,post_post_event,2027-07-01,,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,4,MYRENNE GMBH,pre_pre_event,2008-07-01,2008-08-20,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,4,MYRENNE GMBH,pre_event,2010-07-01,2010-04-27,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,4,MYRENNE GMBH,event,2012-04-15,2011-08-10,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,4,MYRENNE GMBH,post_event,2014-07-01,2014-05-17,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,4,MYRENNE GMBH,post_post_event,2016-07-01,2016-08-01,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_pre_event,2002-07-01,2001-07-23,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_event,2004-07-01,2005-09-09,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,event,2006-01-01,2005-09-09,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_event,2008-07-01,2008-03-27,False,,,,,low,
ab33b6f5-06a8-4981-a805-65bf3f6b3516,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_post_event,2010-07-01,2010-06-18,False,,,,,low,
